{0: 171711270115791765L, 1: 162919745565544573L, 2: 4584841654196459L, 3: 4838963686156749L, 32767: 3392913304634L}
{0: 177374548321219753L, 1: 168587897762580202L, 2: 4587940680566476L, 3: 4842944011751481L, 32767: 3833903871351L}
{0: 182093867647082781L, 1: 173313036336922918L, 2: 4591072658780921L, 3: 4846529130764107L, 32767: 3833903871351L}
{0: 186801968472298472L, 1: 178026568392559882L, 2: 4594692268309856L, 3: 4849243569651518L, 32767: 3833903871351L}
{0: 191517231141300442L, 1: 182747774149968852L, 2: 4598354178074715L, 3: 4852902288680263L, 32767: 3833903871351L}
{0: 196301535681873608L, 1: 187538093134709613L, 2: 4601593359404726L, 3: 4856139134017048L, 32767: 3833903871351L}
{0: 200910697865291827L, 1: 192152397371632068L, 2: 4604865229998453L, 3: 4859876253097536L, 32767: 3833903871351L}
{0: 205821467769884765L, 1: 197069310138860457L, 2: 4609115512237752L, 3: 4863658172081660L, 32767: 3833903871351L}
{0: 211460479764668261L, 1: 202713571650291971L, 2: 4613416680647367L, 3: 4866997986597750L, 32767: 4313227087220L}
{0: 211477273712387315L, 1: 202730365595928869L, 2: 4613416680647367L, 3: 4866997986597750L, 32767: 4313227087220L}
{0: 211481592284974674L, 1: 202734684167986996L, 2: 4613416680647367L, 3: 4866997986597750L, 32767: 4313227087220L}
{0: 211492628834404154L, 1: 202745720716070335L, 2: 4613416680647367L, 3: 4866997986597750L, 32767: 4313227087220L}
{0: 211498387215529917L, 1: 202751479096328338L, 2: 4613416680647367L, 3: 4866997986597750L, 32767: 4313227087220L}
